Step 951 completed, it took 11.127620220184326 seconds
Step 952 completed, it took 13.742911577224731 seconds
Step 953 completed, it took 15.078769445419312 seconds
Step 954 completed, it took 18.29092311859131 seconds
Step 955 completed, it took 16.17111897468567 seconds
Step 956 completed, it took 16.346308946609497 seconds
Step 957 completed, it took 14.655753374099731 seconds
Step 958 completed, it took 14.997344970703125 seconds
Step 959 completed, it took 14.96883225440979 seconds
Step 960 completed, it took 13.435062646865845 seconds
Step 961 completed, it took 11.986857175827026 seconds
Step 962 completed, it took 13.523879528045654 seconds
Step 963 completed, it took 14.67972731590271 seconds
Step 964 completed, it took 13.472768545150757 seconds
Step 965 completed, it took 17.77366876602173 seconds
Step 966 completed, it took 11.879462242126465 seconds
Step 967 completed, it took 14.448432445526123 seconds
Step 968 completed, it took 15.989831686019897 seconds
Step 969 completed, it took 15.921764850616455 seconds
Step 970 completed, it took 16.290945291519165 seconds
Step 971 completed, it took 14.373616695404053 seconds
Step 972 completed, it took 17.003377676010132 seconds
Step 973 completed, it took 13.533588886260986 seconds
Step 974 completed, it took 17.6011483669281 seconds
Step 975 completed, it took 17.129443407058716 seconds
Step 976 completed, it took 13.702355861663818 seconds
Step 977 completed, it took 16.624770879745483 seconds
Step 978 completed, it took 12.967407464981079 seconds
Step 979 completed, it took 13.62877607345581 seconds
Step 980 completed, it took 16.011005878448486 seconds
Step 981 completed, it took 13.601567268371582 seconds
Step 982 completed, it took 19.984508752822876 seconds
Step 983 completed, it took 15.462058782577515 seconds
Step 984 completed, it took 13.0513174533844 seconds
Step 985 completed, it took 15.248443603515625 seconds
Step 986 completed, it took 13.805792570114136 seconds
Step 987 completed, it took 13.12349009513855 seconds
Step 988 completed, it took 13.838335752487183 seconds
Step 989 completed, it took 14.296452283859253 seconds
Step 990 completed, it took 13.618630647659302 seconds
Step 991 completed, it took 15.664963006973267 seconds
Step 992 completed, it took 13.502277612686157 seconds
Step 993 completed, it took 11.727508544921875 seconds
Step 994 completed, it took 13.237682580947876 seconds
Step 995 completed, it took 13.060068130493164 seconds
Step 996 completed, it took 11.942030668258667 seconds
Step 997 completed, it took 12.103952646255493 seconds
Step 998 completed, it took 11.861345052719116 seconds
Step 999 completed, it took 13.855104923248291 seconds
Step 1000 completed, it took 12.643462896347046 seconds
Step 1001 completed, it took 12.656370878219604 seconds
Step 1002 completed, it took 11.7068190574646 seconds
Step 1003 completed, it took 15.825699090957642 seconds
Step 1004 completed, it took 14.042694091796875 seconds
Step 1005 completed, it took 12.474071741104126 seconds
Step 1006 completed, it took 11.797637224197388 seconds
Step 1007 completed, it took 11.732583045959473 seconds
Step 1008 completed, it took 16.015172719955444 seconds
Step 1009 completed, it took 11.379719018936157 seconds
Step 1010 completed, it took 13.728815793991089 seconds
Step 1011 completed, it took 15.66901159286499 seconds
Step 1012 completed, it took 11.725096702575684 seconds
Step 1013 completed, it took 13.249814987182617 seconds
Step 1014 completed, it took 11.917499303817749 seconds
Step 1015 completed, it took 11.971903562545776 seconds
